iter	RMSE
179	190.7732588
180	190.3734057
181	190.0657413
182	189.7079918
183	189.275512
184	188.8688834
185	188.5221945
186	188.0510381
187	187.61473
188	187.2742394
189	186.7982504
190	186.4603828
191	186.0286736
192	185.6410308
193	185.3498676
194	185.0234569
195	184.6242475
196	184.3137279
197	184.059398
198	183.8184138
199	183.5426801
200	183.2557093
201	183.001535
202	182.7110529
203	182.3958387
204	182.2056256
205	182.0012426
206	181.6076664
207	181.237411
208	180.8862761
209	180.6288157
210	180.2854723
211	179.941207
212	179.7119022
213	179.4596549
214	179.1508364
215	178.9026256
216	178.5608009
217	178.2751863
218	177.9589047
219	177.6566195
220	177.3679279
221	177.0452783
222	176.8332847
223	176.6202558
224	176.4365901
225	176.1685341
226	175.919861
227	175.6359557
228	175.3697212
229	175.1721604
230	174.9932958
231	174.7583477
232	174.4722173
233	174.2349505
234	173.9501978
235	173.6659906
236	173.449825
237	173.2707664
238	173.0230905
239	172.7231134
240	172.5205545
241	172.2144978
242	172.036018
243	171.8137285
244	171.5992182
245	171.3652296
246	171.2008264
247	171.0205968
248	170.8313406
249	170.5164526
250	170.3190228
251	170.0707425
252	169.8301054
253	169.6425613
254	169.428562
255	169.2413806
256	169.0546093
257	168.9218931
258	168.7919698
259	168.5578893
260	168.3447227
261	168.2189192
262	168.0076696
263	167.8582726
264	167.7344481
265	167.5776516
266	167.4302946
267	167.2655765
268	167.0167794
269	166.8746585
270	166.6121742
271	166.4821706
272	166.2346683
273	166.0251469
274	165.9059518
275	165.831427
276	165.6195496
277	165.4984634
278	165.3261491
279	165.1714544
280	165.1138144
281	164.9486153
282	164.7757628
283	164.5848139
284	164.2253758
285	164.052947
286	164.0236821
287	163.7720116
288	163.5606327
289	163.40612
290	163.2454688
291	162.9441928
292	162.8029108
293	162.6755668
294	162.5109521
295	162.4284526
296	162.2747602
297	162.1795874
298	162.1367448
299	162.0421602
300	161.9033317
301	161.6684364
302	161.616933
303	161.5167003
304	161.3975406
305	161.0734373
306	160.9459117
307	160.9210053
308	160.772646
309	160.4412489
310	160.2968515
311	160.154144
312	160.0205221
313	159.8724643
314	159.5804317
315	159.4064946
316	159.358885
317	159.1499315
318	159.0399287
319	158.9283154
320	158.7967144
321	158.660269
322	158.5105313
323	158.3580642
324	158.1465646
325	158.0616679
326	157.9184356
327	157.8917597
328	157.595422
329	157.4664145
330	157.1038824
331	156.9895617
332	156.7845697
333	156.7480298
334	156.5026225
335	156.3847911
336	156.1364037
337	155.9111155
338	155.6698757
339	155.6297537
340	155.4222643
341	155.383147
342	155.3651675
343	155.1529297
344	155.1129945
345	154.9138527
346	154.685508
347	154.4800589
348	154.4615341
349	154.2831251
350	154.1654866
351	153.9967322
352	153.7504701
353	153.627008
354	153.553024
355	153.4132054
356	153.3898069
357	153.2243292
358	152.9956345
359	152.9526109
360	152.7135106
361	152.537404
362	152.4441361
363	152.4294739
364	152.2547398
365	152.1882592
366	152.0950457
367	151.8834887
368	151.7509113
369	151.5715495
370	151.3849588
371	151.2492645
372	151.211536
373	151.056632
374	150.7950674
375	150.7032509
376	150.6412459
377	150.547392
378	150.3286105
379	150.1652855
380	149.937448
381	149.9236562
382	149.8681033
383	149.7147208
384	149.4804532
385	149.3252849
386	149.1507927
387	149.0435663
388	148.9646249
389	148.9451011
390	148.7148817
391	148.6324603
392	148.4854706
393	148.3914115
394	148.3163886
395	148.2677133
396	148.1707067
397	148.0720184
398	147.8901106
399	147.7738062
400	147.685678
401	147.6563869
402	147.4265688
403	147.260735
404	147.1590418
405	146.9874968
406	146.8548189
407	146.7538143
408	146.6557095
409	146.6081668
410	146.5652086
411	146.4789173
412	146.3257395
413	146.0725656
414	145.9195379
415	145.7209957
416	145.5615763
417	145.4607745
418	145.2261839
419	145.2030162
420	145.136333
421	144.8450291
422	144.7094024
423	144.5730159
424	144.5242887
425	144.3509536
426	144.2726072
427	144.1803845
428	144.1623741
429	143.9449396
430	143.7977613
431	143.7088295
432	143.6293678
433	143.5450252
434	143.4568179
435	143.3826895
436	143.1418203
437	143.0622807
438	142.9903721
439	142.9151926
440	142.7456535
441	142.5604295
442	142.4541344
443	142.3158003
444	142.1837969
445	142.0082723
446	141.8057034
447	141.6554628
448	141.5961659
449	141.5191245
450	141.3141609
451	141.2446588
452	141.1356963
453	140.9429832
454	140.8948858
455	140.8807833
456	140.7547758
457	140.5574046
458	140.448395
459	140.3846737
460	140.2972716
461	140.1785793
462	140.1136822
463	139.9547096
464	139.7879246
465	139.6014169
466	139.4958479
467	139.3070068
468	139.2478736
469	139.0265088
470	138.9300308
471	138.7141713
472	138.5736665
473	138.4727619
474	138.3077928
475	138.2953932
476	138.270007
477	138.2057645
478	138.0032842
479	137.8725324
480	137.796346
481	137.7036072
482	137.658925
483	137.5399862
484	137.3425848
485	137.1651261
486	136.9536434
487	136.8617852
488	136.7847179
489	136.7104387
490	136.6569647
491	136.5521353
492	136.5088172
493	136.4154159
494	136.2638441
495	136.2030579
496	136.0681942
497	135.8630302
498	135.7129973
499	135.5563793
500	135.5390615
501	135.4821361
502	135.4263488
503	135.2627374
504	135.1213098
505	135.0715691
506	134.9191629
507	134.7884192
508	134.6272145
509	134.5199937
510	134.3804207
511	134.1492768
512	133.9873665
513	133.945924
514	133.9300977
515	133.9176091
516	133.9015479
517	133.8640857
518	133.8110776
519	133.678814
520	133.46399
521	133.4094903
522	133.3220028
523	133.1802151
524	132.9942361
525	132.9016095
526	132.7904509
527	132.7011536
528	132.5293729
529	132.4668457
530	132.3895674
531	132.270394
532	132.2362224
533	132.1120043
534	131.9587268
535	131.8622355
536	131.7412271
537	131.7217113
538	131.5883749
539	131.5780574
540	131.4331995
541	131.4232051
542	131.3356229
543	131.2962923
544	131.2404267
545	131.0579723
546	131.0395247
547	130.8826794
548	130.641009
549	130.4868888
550	130.3511729
551	130.3133448
552	130.250326
553	130.0752168
554	130.0087456
555	129.9344933
556	129.78764
557	129.6893331
558	129.5585803
559	129.4483495
560	129.4289428
561	129.3933967
562	129.2834074
563	129.2338152
564	129.0201281
565	128.9774095
566	128.8939568
567	128.7583692
568	128.5322218
569	128.4111671
570	128.2891505
571	128.187816
572	128.1519329
573	128.0422428
574	127.8914876
575	127.7451585
576	127.6511208
577	127.5916331
578	127.5506186
579	127.4448223
580	127.3753819
581	127.1980239
582	127.1073971
583	126.9266473
584	126.81843
585	126.6774167
586	126.5334068
587	126.4313254
588	126.2907613
589	126.2285261
590	126.1029002
591	125.9817296
592	125.8864952
593	125.7819132
594	125.6724983
595	125.652028
596	125.5526253
597	125.5346601
598	125.3956851
599	125.3424682
600	125.184612
601	125.1127937
602	124.9166578
603	124.756278
604	124.6794132
605	124.620681
606	124.5086241
607	124.490492
608	124.43021
609	124.3903525
610	124.3047128
611	124.2057831
612	124.0949469
613	123.9545054
614	123.8492
615	123.7817034
616	123.7604265
617	123.7374013
618	123.6862258
619	123.5815424
620	123.5234928
621	123.4164065
622	123.3529906
623	123.2475439
624	123.1468225
625	123.0564056
626	122.9322229
627	122.8459688
628	122.8304202
629	122.7576529
630	122.7109154
631	122.5812555
632	122.4590281
633	122.411714
634	122.3652599
635	122.2745351
636	122.2671447
637	122.1508427
638	122.0799521
639	122.0053957
640	121.8715314
641	121.7669743
642	121.6683366
643	121.5767463
644	121.3990962
645	121.3224025
646	121.2213738
647	121.171435
648	121.0825886
649	120.9931116
650	120.9853254
651	120.9071461
652	120.7928396
653	120.7626156
654	120.6173942
655	120.5755213
656	120.533123
657	120.473609
658	120.4027293
659	120.3657125
660	120.2851809
661	120.2334324
662	120.1785569
663	120.0370652
664	119.9613783
665	119.921797
666	119.8737088
667	119.7171932
668	119.6553269
669	119.5648811
670	119.4569626
671	119.4003473
672	119.2401907
673	119.0993622
674	119.0491262
675	119.0184176
676	118.976338
677	118.8517777
678	118.7837574
679	118.7119436
680	118.5771168
681	118.5215479
682	118.4551794
683	118.4457572
684	118.3677595
685	118.2816639
686	118.1367245
687	118.0366582
688	117.994321
689	117.8880093
690	117.8099994
691	117.6849512
692	117.671562
693	117.4668759
694	117.3672928
695	117.3399444
696	117.2947146
697	117.2242913
698	117.1541904
699	117.1260862
700	117.004032
701	116.9280705
702	116.8541684
703	116.8080204
704	116.7488152
705	116.6308457
706	116.5527215
707	116.4757084
708	116.4411227
709	116.4084121
710	116.3553034
711	116.2788196
712	116.1682973
713	116.0770025
714	115.9516748
715	115.8880591
716	115.7760261
717	115.7505017
718	115.6790294
719	115.54389
720	115.415949
721	115.3045528
722	115.2440597
723	115.1274698
724	115.0019895
725	114.9208368
726	114.8836295
727	114.785548
728	114.7379501
729	114.6935886
730	114.5644014
731	114.4822879
732	114.3851609
733	114.3507624
734	114.2903884
735	114.2389349
736	114.2328444
737	114.1728747
738	114.1087546
739	114.098615
740	113.9885837
741	113.8482131
742	113.7704296
743	113.687107
744	113.5519974
745	113.4781364
746	113.3699522
747	113.2709806
748	113.223178
749	113.1466298
750	113.1072918
751	113.0268017
752	112.9108641
753	112.869006
754	112.8274565
755	112.8169956
756	112.7504925
757	112.625995
758	112.5632309
759	112.50606
760	112.4578464
761	112.3920278
762	112.3534564
763	112.2720697
764	112.1943522
765	112.1262413
766	112.0134962
767	111.8444045
768	111.6337166
769	111.6067808
770	111.5020109
771	111.3425847
772	111.2509953
773	111.2271859
774	111.0611455
775	110.9825614
776	110.8689461
777	110.7935861
778	110.6952158
779	110.5912926
780	110.5522945
781	110.4056114
782	110.3273706
783	110.2740959
784	110.2097558
785	110.1610465
786	110.1188718
787	110.0942873
788	110.0184268
789	109.9082707
790	109.8243277
791	109.8116168
792	109.7496735
793	109.6341015
794	109.6020136
795	109.4871382
796	109.376814
797	109.2569133
798	109.1931465
799	109.1022563
800	108.9357101
801	108.8861583
802	108.7895644
803	108.7231335
804	108.6156255
805	108.596086
806	108.5561219
807	108.4411245
808	108.3661182
809	108.2913795
810	108.2219919
811	108.1581462
812	108.0250482
813	107.97622
814	107.8935435
815	107.7375152
816	107.6670399
817	107.6010227
818	107.4778034
819	107.423636
820	107.3528753
821	107.2660583
822	107.1824518
823	107.1474747
824	107.0608812
825	106.9790076
826	106.952922
827	106.9013149
828	106.8054898
829	106.7101228
830	106.618601
831	106.5934163
832	106.5328582
833	106.3999469
834	106.3729717
835	106.3137711
836	106.194796
837	106.1380687
838	106.0518974
839	105.8991541
840	105.8349137
841	105.7646277
842	105.6771185
843	105.5766014
844	105.5086429
845	105.4801311
846	105.3943302
847	105.3676768
848	105.314483
849	105.1789587
850	105.0740612
851	105.0375367
852	105.0167323
853	104.9369211
854	104.860294
855	104.729325
856	104.6637426
857	104.6478755
858	104.5513441
859	104.4876316
860	104.4196838
861	104.2925578
862	104.2116212
863	104.0873079
864	104.0552601
865	104.0058004
866	103.9334669
867	103.8221191
868	103.7801307
869	103.7639192
870	103.7009723
871	103.560745
872	103.4632116
873	103.3832001
874	103.2855912
875	103.1953642
876	103.1204093
877	103.0528227
878	102.9200675
879	102.8757616
880	102.8118381
881	102.7127626
882	102.680775
883	102.5930448
884	102.5099179
885	102.4001169
886	102.3074337
887	102.2585538
888	102.1609899
889	102.0367076
890	102.0151552
891	101.9482159
892	101.8610878
893	101.8077868
894	101.781205
895	101.6732516
896	101.5923916
897	101.4987032
898	101.4484829
899	101.3773667
900	101.2998081
901	101.2769083
902	101.2057359
903	101.1838793
904	101.1158725
905	100.9953458
906	100.9171279
907	100.847238
908	100.7676014
909	100.6586045
910	100.5983052
911	100.5054448
912	100.4327873
913	100.3690598
914	100.3363622
915	100.2729147
916	100.1961351
917	100.1381484
918	100.0771187
919	99.98956851
920	99.94438477
921	99.85194524
922	99.77821029
923	99.70398395
924	99.66600251
925	99.65267077
926	99.59148878
927	99.49866981
928	99.39770301
929	99.34032134
930	99.21232001
931	99.20624855
932	99.13550016
933	99.04979727
934	98.97607168
935	98.86924258
936	98.78308549
937	98.73859267
938	98.66123895
939	98.63489425
940	98.49717102
941	98.41540758
942	98.33629934
943	98.27864311
944	98.1928573
945	98.14028642
946	98.12698722
947	98.11518451
948	98.07651656
949	98.01569729
950	97.89458056
951	97.80110344
952	97.71104212
953	97.6545535
954	97.48903802
955	97.36322617
956	97.35059043
957	97.20998364
958	97.11836271
959	97.05240958
960	97.00592641
961	96.92287363
962	96.86572413
963	96.86176275
964	96.80941409
965	96.73962748
966	96.70875647
967	96.578017
968	96.51666053
969	96.48578854
970	96.40935885
971	96.34668342
972	96.28870726
973	96.2160521
974	96.15084069
975	96.09252878
976	96.01501222
977	95.93935485
978	95.84733556
979	95.83197977
980	95.76491237
981	95.74956186
982	95.6382916
983	95.58580314
984	95.49701816
985	95.43295326
986	95.36289967
987	95.34499584
988	95.24686669
989	95.21017823
990	95.15197925
991	95.0481903
992	94.97951903
993	94.91322826
994	94.81005473
995	94.74511882
996	94.68806963
997	94.60039936
998	94.48204805
999	94.42700122
